,open,high,low,bid,ask
2017-04-25 23:35:00,1.09252,1.09257,1.09249,1.09254,1.09259646154
2017-04-25 23:40:00,1.09254,1.09258,1.0925,1.09252,1.0925716129
2017-04-25 23:45:00,1.09252,1.09271,1.09239,1.09262,1.09257539326
2017-04-25 23:50:00,1.09262,1.09266,1.09242,1.09243,1.09249107143
2017-04-25 23:55:00,1.09243,1.09289,1.09241,1.09284,1.09288587719
2017-04-26 00:00:00,1.09284,1.09294,1.09267,1.09275,1.09277915556
2017-04-26 00:05:00,1.09279,1.09302,1.09271,1.09288,1.09296864964
2017-04-26 00:10:00,1.09288,1.09319,1.09281,1.09301,1.09305890688
2017-04-26 00:15:00,1.09301,1.09329,1.09291,1.09323,1.09326227092
2017-04-26 00:20:00,1.09323,1.09342,1.09314,1.09338,1.09341793814
2017-04-26 00:25:00,1.09338,1.09344,1.09301,1.09342,1.09341951754
2017-04-26 00:30:00,1.09342,1.09387,1.09332,1.0938,1.09386489796
2017-04-26 00:35:00,1.0938,1.094,1.09371,1.09384,1.09388542553
2017-04-26 00:40:00,1.09384,1.09402,1.09376,1.09397,1.09398733711
2017-04-26 00:45:00,1.09397,1.09448,1.09381,1.09441,1.09438096491
2017-04-26 00:50:00,1.09441,1.09441,1.09399,1.09405,1.09409336
2017-04-26 00:55:00,1.09408,1.09418,1.09386,1.09386,1.09401412742
2017-04-26 01:00:00,1.09392,1.09402,1.09374,1.09377,1.0938965896
2017-04-26 01:05:00,1.09377,1.09404,1.09371,1.09372,1.09381227273
2017-04-26 01:10:00,1.09372,1.09374,1.09347,1.09348,1.09356145078
2017-04-26 01:15:00,1.09348,1.09357,1.09323,1.09333,1.09338776632
2017-04-26 01:20:00,1.09334,1.0935,1.09318,1.09318,1.09327760976
2017-04-26 01:25:00,1.09318,1.09332,1.09307,1.09323,1.09329453947
2017-04-26 01:30:00,1.09323,1.09348,1.09322,1.09337,1.0934476
2017-04-26 01:35:00,1.09337,1.09345,1.0932,1.09327,1.0932909465
2017-04-26 01:40:00,1.09327,1.0933,1.09307,1.09313,1.09315975
2017-04-26 01:45:00,1.09313,1.0939,1.09312,1.09389,1.09376161932
2017-04-26 01:50:00,1.09389,1.09397,1.09361,1.09367,1.0937192562
2017-04-26 01:55:00,1.09367,1.09378,1.09356,1.09357,1.09366568966
2017-04-26 02:00:00,1.09357,1.09374,1.09351,1.09374,1.0936894403
2017-04-26 02:05:00,1.09374,1.0938,1.09365,1.09377,1.09378278689
2017-04-26 02:10:00,1.09377,1.09404,1.09367,1.09382,1.0938593985
2017-04-26 02:15:00,1.09382,1.09382,1.09372,1.09372,1.09380360465
2017-04-26 02:20:00,1.09372,1.09373,1.09361,1.09363,1.09367859504
2017-04-26 02:25:00,1.09363,1.09367,1.09346,1.09346,1.0935145098
2017-04-26 02:30:00,1.09346,1.09356,1.09345,1.09353,1.09357421053
2017-04-26 02:35:00,1.09353,1.09354,1.09348,1.09349,1.09354732919
2017-04-26 02:40:00,1.09349,1.09353,1.09332,1.09344,1.09352742647
2017-04-26 02:45:00,1.09344,1.09387,1.09344,1.09381,1.09385835294
2017-04-26 02:50:00,1.09381,1.09395,1.09379,1.09382,1.09387855346
2017-04-26 02:55:00,1.09382,1.09392,1.09381,1.09386,1.09386170886
2017-04-26 03:00:00,1.09387,1.09397,1.09382,1.09387,1.09392801471
2017-04-26 03:05:00,1.09387,1.09393,1.09369,1.09381,1.09379274074
2017-04-26 03:10:00,1.09381,1.09383,1.09376,1.09377,1.09382876289
2017-04-26 03:15:00,1.09377,1.09397,1.09376,1.09393,1.09397507246
2017-04-26 03:20:00,1.09393,1.09397,1.09383,1.09391,1.09395828829
2017-04-26 03:25:00,1.09391,1.09392,1.09371,1.09372,1.09378131783
2017-04-26 03:30:00,1.09372,1.09378,1.09367,1.09372,1.09375882353
2017-04-26 03:35:00,1.09372,1.09377,1.09368,1.09372,1.09376463768
2017-04-26 03:40:00,1.09372,1.09374,1.09371,1.09372,1.09377418919
2017-04-26 03:45:00,1.09372,1.09374,1.09361,1.09362,1.09367761905
2017-04-26 03:50:00,1.09362,1.0937,1.09355,1.09363,1.09363785714
2017-04-26 03:55:00,1.09363,1.09364,1.09352,1.09362,1.09365875
2017-04-26 04:00:00,1.09362,1.09364,1.09356,1.09363,1.09367128205
2017-04-26 04:05:00,1.09362,1.0938,1.09359,1.09362,1.09367071429
2017-04-26 04:10:00,1.09362,1.09374,1.09362,1.09371,1.09373581197
2017-04-26 04:15:00,1.09371,1.0938,1.09364,1.09378,1.09378466667
2017-04-26 04:20:00,1.09378,1.09385,1.09373,1.09379,1.09382223881
2017-04-26 04:25:00,1.09379,1.09418,1.09379,1.09416,1.09406996324
2017-04-26 04:30:00,1.09416,1.09442,1.09412,1.09425,1.0943165445
2017-04-26 04:35:00,1.09425,1.09431,1.09402,1.09425,1.09430418994
2017-04-26 04:40:00,1.09425,1.09474,1.09425,1.09432,1.09438134228
2017-04-26 04:45:00,1.09432,1.09432,1.09411,1.09415,1.09422007519
2017-04-26 04:50:00,1.09414,1.09419,1.09409,1.09412,1.09417302632
2017-04-26 04:55:00,1.09412,1.09424,1.09412,1.09419,1.09422559006
2017-04-26 05:00:00,1.09419,1.09423,1.09401,1.09402,1.09414621622
2017-04-26 05:05:00,1.09402,1.09423,1.09402,1.09412,1.09417198347
2017-04-26 05:10:00,1.09412,1.09453,1.09408,1.09448,1.09449899281
2017-04-26 05:15:00,1.09448,1.09479,1.09445,1.09477,1.09472850394
2017-04-26 05:20:00,1.09477,1.09484,1.09446,1.09458,1.09456473451
2017-04-26 05:25:00,1.09458,1.09498,1.09457,1.09497,1.09493447368
2017-04-26 05:30:00,1.09497,1.09497,1.09442,1.09446,1.09451217822
2017-04-26 05:35:00,1.09447,1.09449,1.09434,1.09444,1.09443145455
2017-04-26 05:40:00,1.09444,1.09444,1.0943,1.09441,1.09441320197
2017-04-26 05:45:00,1.09441,1.09464,1.09439,1.09452,1.09458426966
2017-04-26 05:50:00,1.09452,1.09463,1.09449,1.09463,1.09459035398
2017-04-26 05:55:00,1.09463,1.09469,1.09445,1.09453,1.09455901042
2017-04-26 06:00:00,1.09453,1.09464,1.09447,1.09458,1.09456083333
2017-04-26 06:05:00,1.09458,1.09459,1.09437,1.0944,1.09447302326
2017-04-26 06:10:00,1.0944,1.09474,1.09428,1.09471,1.09463623824
2017-04-26 06:15:00,1.09471,1.09471,1.09432,1.09435,1.09443546053
2017-04-26 06:20:00,1.09435,1.09508,1.09435,1.09497,1.0949839749
2017-04-26 06:25:00,1.09498,1.09498,1.09408,1.0941,1.09420668478
2017-04-26 06:30:00,1.0941,1.09419,1.09349,1.09365,1.09366617284
2017-04-26 06:35:00,1.09365,1.09371,1.09342,1.09354,1.09357330435
2017-04-26 06:40:00,1.09354,1.09356,1.09317,1.09333,1.09334972803
2017-04-26 06:45:00,1.09336,1.09344,1.09296,1.09302,1.09307
2017-04-26 06:50:00,1.09302,1.09302,1.09239,1.09249,1.09248833333
2017-04-26 06:55:00,1.09249,1.09255,1.09223,1.09243,1.09246873762
2017-04-26 07:00:00,1.09243,1.09264,1.0922,1.09248,1.09245961039
2017-04-26 07:05:00,1.09248,1.09308,1.09247,1.09307,1.09307498328
2017-04-26 07:10:00,1.09307,1.09325,1.09302,1.09311,1.09314437288
2017-04-26 07:15:00,1.09311,1.09316,1.09254,1.09259,1.0927230814
2017-04-26 07:20:00,1.09258,1.09282,1.09226,1.09228,1.09243081218
2017-04-26 07:25:00,1.0923,1.09264,1.09196,1.09205,1.09212752784
2017-04-26 07:30:00,1.09205,1.09221,1.09174,1.09215,1.09220682243
2017-04-26 07:35:00,1.09215,1.09228,1.09206,1.09211,1.09221351955
2017-04-26 07:40:00,1.0921,1.09212,1.09125,1.09162,1.09147628227
2017-04-26 07:45:00,1.09162,1.09167,1.0912,1.09145,1.09134281496
2017-04-26 07:50:00,1.09145,1.09158,1.09086,1.09096,1.09106933042
2017-04-26 07:55:00,1.09096,1.09133,1.09045,1.09123,1.09128483296
2017-04-26 08:00:00,1.09123,1.09143,1.09099,1.09136,1.09137432099
2017-04-26 08:05:00,1.09136,1.09167,1.09111,1.09113,1.09135047368
2017-04-26 08:10:00,1.09113,1.09156,1.09095,1.09127,1.09122183333
2017-04-26 08:15:00,1.09126,1.09132,1.09106,1.09115,1.09118039548
2017-04-26 08:20:00,1.09115,1.09182,1.09114,1.09132,1.09144850467
2017-04-26 08:25:00,1.09132,1.09151,1.09105,1.09107,1.09125851064
2017-04-26 08:30:00,1.09107,1.0911,1.0902,1.09043,1.09050064516
2017-04-26 08:35:00,1.09044,1.09112,1.09044,1.09098,1.09096586118
2017-04-26 08:40:00,1.09098,1.09099,1.08955,1.08996,1.08992678466
2017-04-26 08:45:00,1.08996,1.09018,1.08965,1.09004,1.0900420709
2017-04-26 08:50:00,1.09004,1.09076,1.08992,1.09053,1.09063220952
2017-04-26 08:55:00,1.09053,1.09076,1.09031,1.09042,1.09046148438
2017-04-26 09:00:00,1.09042,1.09046,1.09016,1.09025,1.09026528736
2017-04-26 09:05:00,1.09025,1.09041,1.08997,1.09006,1.09005351351
2017-04-26 09:10:00,1.09006,1.09036,1.08997,1.09026,1.09031338863
2017-04-26 09:15:00,1.09026,1.09041,1.09011,1.09025,1.09036151079
2017-04-26 09:20:00,1.09025,1.0903,1.09003,1.09023,1.09017182857
2017-04-26 09:25:00,1.09023,1.09073,1.09019,1.09032,1.09036653207
2017-04-26 09:30:00,1.09032,1.09044,1.09009,1.09043,1.09036872289
2017-04-26 09:35:00,1.09043,1.09071,1.0902,1.09061,1.09061921833
2017-04-26 09:40:00,1.09061,1.0907,1.09006,1.0901,1.09027160665
2017-04-26 09:45:00,1.0901,1.09012,1.08921,1.08961,1.08965173333
2017-04-26 09:50:00,1.08961,1.08987,1.08953,1.08983,1.08983723602
2017-04-26 09:55:00,1.08983,1.09005,1.08976,1.09001,1.08995969466
2017-04-26 10:00:00,1.09001,1.09022,1.08991,1.09005,1.09002551929
2017-04-26 10:05:00,1.09005,1.09005,1.08961,1.08966,1.08969383333
2017-04-26 10:10:00,1.08966,1.08991,1.08965,1.08986,1.08990537906
2017-04-26 10:15:00,1.08986,1.08989,1.08939,1.08945,1.08960598746
2017-04-26 10:20:00,1.08945,1.08947,1.08859,1.0886,1.08886106542
2017-04-26 10:25:00,1.0886,1.08896,1.08854,1.08894,1.08894745763
2017-04-26 10:30:00,1.08894,1.08901,1.08859,1.0888,1.08883263158
2017-04-26 10:35:00,1.0888,1.08886,1.08851,1.08866,1.08868776173
2017-04-26 10:40:00,1.08866,1.08892,1.0886,1.08866,1.08871629179
2017-04-26 10:45:00,1.08865,1.08871,1.08839,1.08841,1.08849350168
2017-04-26 10:50:00,1.08841,1.0887,1.08819,1.08865,1.08855653266
2017-04-26 10:55:00,1.08865,1.08906,1.08851,1.08895,1.08903601604
2017-04-26 11:00:00,1.08895,1.08924,1.08879,1.08922,1.08917151042
2017-04-26 11:05:00,1.08922,1.08942,1.08917,1.08942,1.0894365
2017-04-26 11:10:00,1.08942,1.08963,1.08935,1.08938,1.08944327869
2017-04-26 11:15:00,1.08938,1.08975,1.08938,1.08961,1.08969825623
2017-04-26 11:20:00,1.08961,1.0897,1.0894,1.08967,1.0896767364
2017-04-26 11:25:00,1.08967,1.0898,1.08958,1.08969,1.08980438806
2017-04-26 11:30:00,1.08969,1.0897,1.08939,1.08941,1.08948084337
2017-04-26 11:35:00,1.08941,1.08959,1.08914,1.08925,1.08927711911
2017-04-26 11:40:00,1.08925,1.08955,1.08917,1.08945,1.08940856369
2017-04-26 11:45:00,1.08945,1.08962,1.08923,1.08953,1.08944168831
2017-04-26 11:50:00,1.08952,1.08961,1.08929,1.08952,1.08954801609
2017-04-26 11:55:00,1.08951,1.08955,1.08918,1.08924,1.08937257576
2017-04-26 12:00:00,1.08924,1.08948,1.08915,1.08933,1.08934960212
2017-04-26 12:05:00,1.08932,1.0897,1.08919,1.08964,1.08965517361
2017-04-26 12:10:00,1.08964,1.08968,1.08933,1.08957,1.08958501832
2017-04-26 12:15:00,1.08957,1.08973,1.08925,1.08931,1.08934329208
2017-04-26 12:20:00,1.08931,1.08934,1.08893,1.08926,1.08913638889
2017-04-26 12:25:00,1.08925,1.08969,1.08894,1.08963,1.08952320755
2017-04-26 12:30:00,1.08963,1.08964,1.08934,1.08951,1.08954267717
2017-04-26 12:35:00,1.08951,1.08953,1.08815,1.08839,1.08831558276
2017-04-26 12:40:00,1.08839,1.0889,1.08809,1.08879,1.08871764798
2017-04-26 12:45:00,1.08879,1.08938,1.08878,1.08926,1.08929569593
2017-04-26 12:50:00,1.08926,1.08927,1.08865,1.08866,1.08876325142
2017-04-26 12:55:00,1.08866,1.08901,1.0882,1.08895,1.0889287884
2017-04-26 13:00:00,1.08895,1.08898,1.08866,1.0887,1.0887670255
2017-04-26 13:05:00,1.0887,1.08906,1.08848,1.0887,1.08870613365
2017-04-26 13:10:00,1.0887,1.0887,1.08788,1.08805,1.08801135436
2017-04-26 13:15:00,1.08805,1.08824,1.08768,1.08821,1.08815349785
2017-04-26 13:20:00,1.08819,1.08824,1.08761,1.08779,1.08796651064
2017-04-26 13:25:00,1.08779,1.08795,1.08753,1.08776,1.08774910751
2017-04-26 13:30:00,1.08776,1.08798,1.08741,1.08759,1.08756463183
2017-04-26 13:35:00,1.0876,1.08798,1.08748,1.0877,1.08778914931
2017-04-26 13:40:00,1.0877,1.08832,1.08734,1.0883,1.08823262097
2017-04-26 13:45:00,1.0883,1.08874,1.08819,1.08862,1.08868597802
2017-04-26 13:50:00,1.08862,1.08909,1.08858,1.0888,1.0888629078
2017-04-26 13:55:00,1.08879,1.08881,1.08849,1.08865,1.08874669565
2017-04-26 14:00:00,1.08865,1.089,1.08854,1.08896,1.08891840816
2017-04-26 14:05:00,1.08896,1.08909,1.08854,1.08865,1.08866258333
2017-04-26 14:10:00,1.08865,1.08935,1.08864,1.08914,1.08918513308
2017-04-26 14:15:00,1.08914,1.0892,1.08893,1.0891,1.08914257069
2017-04-26 14:20:00,1.0891,1.08937,1.0891,1.08935,1.08936372159
2017-04-26 14:25:00,1.08935,1.08948,1.08926,1.08941,1.08942316017
2017-04-26 14:30:00,1.08941,1.08942,1.08917,1.08934,1.08936345029
2017-04-26 14:35:00,1.08934,1.08951,1.0892,1.08935,1.08940828846
2017-04-26 14:40:00,1.08934,1.08937,1.08885,1.08902,1.08903610503
2017-04-26 14:45:00,1.08902,1.08927,1.08869,1.08871,1.08899690705
2017-04-26 14:50:00,1.08871,1.08876,1.08835,1.08858,1.08859662587
2017-04-26 14:55:00,1.08858,1.08878,1.08789,1.088,1.08807243553
2017-04-26 15:00:00,1.08799,1.08833,1.0876,1.0876,1.08780695712
2017-04-26 15:05:00,1.08763,1.08786,1.08728,1.08761,1.08773033898
2017-04-26 15:10:00,1.08761,1.08801,1.08756,1.08781,1.08790953722
2017-04-26 15:15:00,1.0878,1.08808,1.08778,1.08796,1.08799038674
2017-04-26 15:20:00,1.08796,1.08837,1.08794,1.08834,1.08828435673
2017-04-26 15:25:00,1.08834,1.08842,1.08763,1.08767,1.08773702929
2017-04-26 15:30:00,1.08767,1.08785,1.08746,1.08747,1.08759123932
2017-04-26 15:35:00,1.08747,1.08747,1.08671,1.08714,1.08718814433
2017-04-26 15:40:00,1.08714,1.08718,1.08649,1.08657,1.08669763959
2017-04-26 15:45:00,1.08657,1.08681,1.08554,1.08607,1.08608482165
2017-04-26 15:50:00,1.08607,1.0875,1.08607,1.08748,1.08718577485
2017-04-26 15:55:00,1.08749,1.08752,1.08671,1.08716,1.08716957386
2017-04-26 16:00:00,1.08716,1.08723,1.08665,1.08721,1.08697206439
2017-04-26 16:05:00,1.08721,1.08736,1.08665,1.08668,1.086744
2017-04-26 16:10:00,1.08668,1.08724,1.08666,1.08712,1.08704571429
2017-04-26 16:15:00,1.08712,1.08752,1.08703,1.08744,1.08748438272
2017-04-26 16:20:00,1.08744,1.08773,1.08741,1.08761,1.08767430147
2017-04-26 16:25:00,1.08761,1.08766,1.08707,1.08731,1.0872965411
2017-04-26 16:30:00,1.08731,1.08768,1.08717,1.08757,1.08762792453
2017-04-26 16:35:00,1.08756,1.0876,1.08691,1.08702,1.08705315341
2017-04-26 16:40:00,1.08703,1.08718,1.0869,1.08712,1.08714338926
2017-04-26 16:45:00,1.08712,1.08737,1.08706,1.08735,1.08731992157
2017-04-26 16:50:00,1.08735,1.08789,1.0873,1.08771,1.08775184573
2017-04-26 16:55:00,1.08771,1.08775,1.08721,1.08747,1.08754882155
2017-04-26 17:00:00,1.08748,1.08777,1.08743,1.08753,1.087632569
2017-04-26 17:05:00,1.08752,1.08764,1.08728,1.08747,1.0874805914
2017-04-26 17:10:00,1.08747,1.08759,1.08729,1.08731,1.08740701389
2017-04-26 17:15:00,1.08731,1.0877,1.08725,1.08766,1.08769256228
2017-04-26 17:20:00,1.08766,1.08777,1.08725,1.08748,1.08760875421
2017-04-26 17:25:00,1.08747,1.08765,1.08736,1.08738,1.08748703704
2017-04-26 17:30:00,1.08738,1.0877,1.08738,1.0877,1.087647
2017-04-26 17:35:00,1.0877,1.08799,1.08762,1.08775,1.08782922156
2017-04-26 17:40:00,1.08775,1.08795,1.08742,1.08747,1.08756903689
2017-04-26 17:45:00,1.08747,1.08775,1.0865,1.087,1.08677607551
2017-04-26 17:50:00,1.08701,1.08912,1.08612,1.08889,1.0886640051
2017-04-26 17:55:00,1.08891,1.08924,1.0884,1.08886,1.08875383099
2017-04-26 18:00:00,1.08887,1.08978,1.08868,1.08975,1.08968669778
2017-04-26 18:05:00,1.0898,1.09066,1.0894,1.09002,1.09014237127
2017-04-26 18:10:00,1.09002,1.09129,1.09001,1.09069,1.09103966013
2017-04-26 18:15:00,1.0907,1.09076,1.08997,1.09045,1.09051309859
2017-04-26 18:20:00,1.09046,1.09071,1.09,1.09055,1.09058332824
2017-04-26 18:25:00,1.09056,1.09058,1.09006,1.09014,1.09031598131
2017-04-26 18:30:00,1.09014,1.0902,1.08988,1.09004,1.09003495495
2017-04-26 18:35:00,1.09004,1.09018,1.0893,1.0894,1.08951930556
2017-04-26 18:40:00,1.0894,1.08981,1.0894,1.08964,1.08969777778
2017-04-26 18:45:00,1.08964,1.08975,1.08901,1.08905,1.08926494929
2017-04-26 18:50:00,1.08905,1.08916,1.08884,1.08912,1.08913464589
2017-04-26 18:55:00,1.08912,1.08934,1.08906,1.08927,1.08931859788
2017-04-26 19:00:00,1.08926,1.08985,1.0892,1.08975,1.0897060292
2017-04-26 19:05:00,1.08974,1.08979,1.08939,1.08939,1.08954172638
2017-04-26 19:10:00,1.08939,1.08962,1.08926,1.08939,1.08952552995
2017-04-26 19:15:00,1.08938,1.08956,1.08925,1.08956,1.08952946903
2017-04-26 19:20:00,1.08956,1.08994,1.08956,1.08979,1.08988346749
2017-04-26 19:25:00,1.08979,1.09,1.08962,1.08985,1.08983710714
2017-04-26 19:30:00,1.08985,1.08985,1.0896,1.08966,1.08969346154
2017-04-26 19:35:00,1.08966,1.08986,1.08949,1.08986,1.08978557554
2017-04-26 19:40:00,1.08986,1.09009,1.08981,1.09001,1.09004670139
2017-04-26 19:45:00,1.09005,1.09018,1.08979,1.0899,1.08997968037
2017-04-26 19:50:00,1.0899,1.09049,1.08989,1.09041,1.09038318519
2017-04-26 19:55:00,1.09041,1.09105,1.09026,1.09075,1.09082854839
