,PNL,buys,sells,longest_buys,longest_sells
2017-10-17,-0.0008099999999942042,6304.0,683.0,4884.0,17.0
2017-10-18,0.0074399999999870126,3325.0,3617.0,48.0,24.0
2017-10-19,-0.006089999999992823,3285.0,3940.0,10.0,66.0
2017-10-20,0.0014099999999961366,3135.0,4059.0,13.0,32.0
2017-10-23,0.016139999999992938,3407.0,3577.0,48.0,15.0
2017-10-24,0.008740000000007742,3064.0,3718.0,12.0,18.0
2017-10-25,0.00044999999999406626,3496.0,3594.0,15.0,18.0
2017-10-26,-0.006710000000011096,4630.0,2548.0,2289.0,46.0
2017-10-27,-0.0030700000000012393,6976.0,246.0,4710.0,9.0
2017-10-30,0.0090400000000177,2822.0,4170.0,21.0,33.0
2017-10-31,-0.007570000000013843,3348.0,3608.0,32.0,16.0
2017-11-01,-0.004479999999998929,3203.0,3778.0,14.0,14.0
2017-11-02,0.004159999999993947,2214.0,4934.0,14.0,382.0
2017-11-03,0.005369999999996766,3029.0,3728.0,15.0,20.0
2017-11-06,0.00530999999997972,4030.0,2420.0,1601.0,22.0
2017-11-07,0.0012299999999911826,4732.0,1962.0,2183.0,14.0
2017-11-08,0.005119999999988245,3027.0,3651.0,11.0,24.0
2017-11-09,-0.0009000000000074504,3065.0,3662.0,14.0,42.0
2017-11-10,0.0033799999999841734,1954.0,4568.0,10.0,847.0
2017-11-13,0.0031000000000116494,2920.0,3273.0,18.0,16.0
2017-11-14,-0.012779999999981362,1071.0,5302.0,30.0,4169.0
2017-11-15,0.0012599999999851619,1892.0,4973.0,56.0,2855.0
2017-11-16,0.005299999999998972,4375.0,2393.0,296.0,15.0
2017-11-17,-0.003849999999999021,3236.0,3714.0,23.0,38.0
2017-11-20,-0.008160000000007939,3805.0,2926.0,112.0,65.0
2017-11-21,-0.0019400000000047157,2939.0,3697.0,28.0,219.0
2017-11-22,0.003200000000007641,3185.0,3480.0,68.0,20.0
2017-11-23,0.0022600000000025933,757.0,5660.0,35.0,3858.0
2017-11-24,-0.004959999999993858,1329.0,5120.0,18.0,3510.0
2017-11-27,-0.001350000000013285,3186.0,3198.0,68.0,526.0
2017-11-28,-0.005269999999997221,3503.0,3398.0,97.0,70.0
2017-11-29,0.0038599999999986423,3237.0,3701.0,12.0,15.0
2017-11-30,0.00379000000000329,3463.0,3583.0,24.0,15.0
2017-12-01,-0.0033100000000072516,3391.0,3967.0,14.0,14.0
2017-12-04,0.0029299999999965465,3323.0,3379.0,12.0,13.0
2017-12-05,0.002319999999992106,3844.0,2975.0,487.0,17.0
2017-12-06,-0.002630000000013233,4521.0,2316.0,1958.0,19.0
2017-12-07,0.008189999999985265,3824.0,2991.0,508.0,19.0
2017-12-08,-0.0006599999999974404,6648.0,92.0,6115.0,5.0
2017-12-11,-0.0038200000000008227,3007.0,3304.0,21.0,44.0
2017-12-12,0.0066699999999935145,3533.0,2868.0,575.0,18.0
2017-12-13,-0.009020000000006467,2852.0,3514.0,11.0,343.0
2017-12-14,0.0007600000000038687,1901.0,5095.0,23.0,1694.0
2017-12-15,0.009450000000005954,3115.0,3615.0,10.0,13.0
2017-12-18,0.001280000000015713,2912.0,3518.0,12.0,25.0
2017-12-19,0.0011599999999982735,3151.0,3512.0,17.0,46.0
2017-12-20,0.0018300000000113226,1971.0,4617.0,19.0,1772.0
2017-12-21,0.0028299999999858994,3964.0,2613.0,87.0,40.0
2017-12-22,-0.00031000000000047656,2953.0,3662.0,17.0,30.0
2017-12-25,0.05987000000000098,232.0,299.0,13.0,17.0
2017-12-26,0.009640000000015192,2453.0,2429.0,15.0,13.0
2017-12-27,0.005540000000004319,1645.0,4573.0,15.0,1383.0
2017-12-28,-0.004489999999996552,651.0,5624.0,15.0,4807.0
2017-12-29,-0.0031899999999922546,1358.0,4842.0,21.0,3606.0
