,PNL,buys,sells,longest_buys,longest_sells
2017-11-02,0.002880000000001992,2306.0,4842.0,10.0,374.0
2017-11-03,0.0012100000000143663,2928.0,3829.0,15.0,27.0
2017-11-06,0.0037299999999911293,4070.0,2380.0,1602.0,13.0
2017-11-07,0.00018999999999502753,4573.0,2121.0,2182.0,14.0
2017-11-08,0.0027399999999984104,3365.0,3313.0,17.0,12.0
2017-11-09,-0.007360000000018241,2978.0,3749.0,11.0,48.0
2017-11-10,0.0042799999999851845,2001.0,4521.0,17.0,847.0
2017-11-13,0.0008000000000316638,2947.0,3246.0,13.0,12.0
2017-11-14,-0.013179999999987535,1090.0,5283.0,22.0,4169.0
2017-11-15,-0.002180000000002291,1938.0,4927.0,36.0,2854.0
2017-11-16,0.003139999999991483,3827.0,2941.0,91.0,35.0
2017-11-17,-0.0027700000000110414,3228.0,3722.0,22.0,24.0
2017-11-20,0.005080000000008189,3141.0,3590.0,45.0,45.0
2017-11-21,-0.008240000000000691,3148.0,3488.0,28.0,219.0
2017-11-22,-0.0012600000000015932,3122.0,3543.0,117.0,17.0
2017-11-23,-0.0002799999999967274,828.0,5589.0,35.0,3859.0
2017-11-24,-0.005799999999991812,1325.0,5124.0,10.0,3510.0
2017-11-27,-0.005310000000005033,3599.0,2785.0,522.0,35.0
2017-11-28,0.005250000000013966,3669.0,3232.0,49.0,58.0
2017-11-29,0.00019999999998709944,3256.0,3682.0,14.0,18.0
2017-11-30,0.005729999999987578,3394.0,3652.0,29.0,18.0
2017-12-01,0.0018299999999820127,3448.0,3910.0,13.0,14.0
2017-12-04,0.002749999999985153,3353.0,3349.0,13.0,11.0
2017-12-05,0.004780000000006446,3611.0,3208.0,465.0,13.0
2017-12-06,-0.002330000000008603,2551.0,4286.0,13.0,1927.0
2017-12-07,0.005229999999992074,3653.0,3162.0,481.0,19.0
2017-12-08,-0.0006399999999973094,6615.0,125.0,6112.0,6.0
2017-12-11,-0.004460000000013897,2916.0,3395.0,18.0,17.0
2017-12-12,0.004989999999975847,3410.0,2991.0,569.0,17.0
2017-12-13,-0.0053600000000006975,2873.0,3493.0,18.0,345.0
2017-12-14,-0.002039999999991382,1936.0,5060.0,34.0,1693.0
2017-12-15,0.008749999999989821,3101.0,3629.0,12.0,13.0
2017-12-18,0.00146000000002533,2916.0,3514.0,10.0,13.0
2017-12-19,0.0010599999999838516,3180.0,3483.0,18.0,45.0
2017-12-20,-0.0034299999999813924,2207.0,4381.0,18.0,1771.0
2017-12-21,0.0030299999999872096,4005.0,2572.0,84.0,29.0
2017-12-22,0.0014500000000017277,3025.0,3590.0,15.0,21.0
2017-12-25,0.031229999999998537,230.0,301.0,10.0,21.0
2017-12-26,0.0038599999999990855,2220.0,2662.0,12.0,16.0
2017-12-27,0.004260000000003483,1595.0,4623.0,15.0,1374.0
2017-12-28,-0.0033699999999941,683.0,5592.0,10.0,4807.0
2017-12-29,-0.0016100000000009995,1315.0,4885.0,15.0,3606.0
